key trace size: 120000000
Randomize the trace...thread  9, between 108000000 - 120000000
thread  0, between 0 - 12000000
thread  3, between 36000000 - 48000000
thread  5, between 60000000 - 72000000
thread  8, between 96000000 - 108000000
thread  2, between 24000000 - 36000000
thread  1, between 12000000 - 24000000
thread  4, between 48000000 - 60000000
thread  7, between 84000000 - 96000000
thread  6, between 72000000 - 84000000
2021/09/02-16:34:41  ... thread 1: (10000000,10000000) ops and ( 275307.4,275307.4 ) ops/second in (36.3230,36.3230) seconds
2021/09/02-16:34:41  ... thread 8: (10000000,10000000) ops and ( 272450.2,272450.2 ) ops/second in (36.7040,36.7040) seconds
2021/09/02-16:34:41  ... thread 0: (10000000,10000000) ops and ( 272276.3,272276.3 ) ops/second in (36.7274,36.7274) seconds
2021/09/02-16:34:42  ... thread 6: (10000000,10000000) ops and ( 267645.7,267645.7 ) ops/second in (37.3628,37.3628) seconds
2021/09/02-16:34:44  ... thread 5: (10000000,10000000) ops and ( 254355.2,254355.2 ) ops/second in (39.3151,39.3151) seconds
2021/09/02-16:34:45  ... thread 2: (10000000,10000000) ops and ( 244590.8,244590.8 ) ops/second in (40.8846,40.8846) seconds
2021/09/02-16:34:45  ... thread 3: (10000000,10000000) ops and ( 244402.6,244402.6 ) ops/second in (40.9161,40.9161) seconds
2021/09/02-16:34:46  ... thread 9: (10000000,10000000) ops and ( 241207.6,241207.6 ) ops/second in (41.4581,41.4581) seconds
2021/09/02-16:34:47  ... thread 7: (10000000,10000000) ops and ( 232948.1,232948.1 ) ops/second in (42.9280,42.9280) seconds
2021/09/02-16:34:47  ... thread 4: (10000000,10000000) ops and ( 232463.7,232463.7 ) ops/second in (43.0175,43.0175) seconds
load         :       0.427 micros/op 2.233861 Mops/s;
